"Iso Code","Language Name"
not,"Nomatsigenga"
pny,"Pinyin"
nuj,"Nyole"
bhz,"Bada"
kvn,"Kuna, Border"
lje,"Rampi"
sne,"Bidayuh, Bau"
ndy,"Lutos"
ksb,"Shambala"
nhy,"Nahuatl, Northern Oaxaca"
kwd,"Kwaio"
moz,"Mukulu"
cmr,"Mro-Khimi"
xuo,"Kuo"
zpu,"Zapotec, Yalálag"
avn,"Avatime"
pap,"Papiamentu"
pss,"Kaulong"
akp,"Siwu"
ted,"Krumen, Tepo"
rro,"Waima"
muv,"Muthuvan"
gau,"Gadaba, Mudhili"
ake,"Akawaio"
guq,"Aché"
lsi,"Lacid"
cul,"Kulina"
tna,"Tacana"
cle,"Chinantec, Lealao"
iri,"Rigwe"
flr,"Fuliiru"
bkd,"Binukid"
bmr,"Muinane"
twb,"Tawbuid"
ikk,"Ika"
tbl,"Tboli"
mnw,"Mon"
asa,"Asu"
abi,"Abidji"
yaz,"Lokaa"
bgw,"Bhatri"
miy,"Mixtec, Ayutla"
gai,"Mbore"
smo,"Samoan"
cnl,"Chinantec, Lalana"
far,"Fataleka"
poi,"Popoluca, Highland"
tgo,"Sudest"
gud,"Dida, Yocoboué"
kak,"Kalanguya"
gub,"Guajajára"
yre,"Yaouré"
cso,"Chinantec, Sochiapam"
gwr,"Gwere"
ati,"Attié"
urt,"Urat"
mil,"Mixtec, Peñoles"
ndv,"Ndut"
rnl,"Ranglong"
sch,"Sakachep"
zpc,"Zapotec, Choapan"
tom,"Tombulu"
tnt,"Tontemboan"
atg,"Ivbie North-Okpela-Arhe"
kdl,"Tsikimba"
mto,"Mixe, Totontepec"
bov,"Tuwuli"
myy,"Macuna"
ava,"Avar"
ami,"Amis"
luc,"Aringa"
plw,"Palawano, Brooke’s Point"
cab,"Garifuna"
sey,"Paicoca"
zpg,"Zapotec, Guevea de Humboldt"
xnj,"Chingoni"
kdc,"Kutu"
zpt,"Zapotec, San Vicente Coatlán"
prk,"Wa, Parauk"
qxr,"Quichua, Cañar Highland"
nga,"Ngbaka"
ubl,"Bikol, Buhi’non"
crs,"Seychelles French Creole"
cwe,"Kwere"
pps,"Popoloca, San Luís Temalacayuca"
bjw,"Bakwé"
aia,"Arosi"
taq,"Tamasheq"
idd,"Ede Idaca"
ceb,"Cebuano"
blh,"Kuwaa"
kfw,"Naga, Kharam"
gqr,"Gor"
suc,"Subanon, Western"
cok,"Cora, Santa Teresa"
kzf,"Kaili, Da’a"
myv,"Erzya"
mge,"Mango"
tly,"Talysh"
udm,"Udmurt"
tmf,"Toba-Maskoy"
cbi,"Chachi"
kqr,"Kimaragang"
yas,"Nugunu"
nsu,"Nahuatl, Sierra Negra"
pez,"Penan, Eastern"
moa,"Mwan"
dgk,"Dagba"
tao,"Yami"
lon,"Lomwe, Malawi"
kog,"Kogi"
tlb,"Tobelo"
azg,"Amuzgo, San Pedro Amuzgos"
xtd,"Mixtec, Diuxi-Tilantongo"
bqp,"Bisã"
kpv,"Komi-Zyrian"
hwc,"Hawaii Pidgin"
cpu,"Ashéninka, Pichis"
yat,"Yambeta"
kje,"Kisar"
met,"Mato"
zmz,"Mbandja"
ury,"Orya"
cpb,"Ashéninka, Ucayali-Yurúa"
bep,"Behoa"
yea,"Ravula"
zga,"Kinga"
asg,"Cishingini"
kaq,"Capanahua"
jun,"Juang"
knb,"Kalinga, Lubuagan"
kyf,"Kouya"
rap,"Rapa Nui"
ess,"Yupik, Saint Lawrence Island"
stn,"Owa"
byr,"Yipma"
sjm,"Mapun"
mjv,"Mannan"
rub,"Gungu"
kjh,"Khakas"
kmd,"Kalinga, Majukayang"
dbq,"Daba"
wap,"Wapishana"
blx,"Ayta, Mag-Indi"
kne,"Kankanaey"
arl,"Arabela"
abp,"Ayta, Abellen"
tuf,"Tunebo, Central"
cgc,"Kagayanen"
ksr,"Borong"
ojb,"Ojibwa, Northwestern"
cbr,"Kakataibo-Kashibo"
chv,"Chuvash"
ktj,"Krumen, Plapo"
omw,"Tairora, South"
cjo,"Ashéninka, Pajonal"
mhr,"Mari, Meadow"
atq,"Aralle-Tabulahan"
rkt,"Rangpuri"
ium,"Iu Mien"
crt,"Chorote, Iyojwa’ja"
nog,"Nogai"
snn,"Siona"
tte,"Bwanabwana"
tvw,"Sedoa"
pjt,"Pitjantjatjara"
nlk,"Yali, Ninia"
tih,"Murut, Timugon"
ppk,"Uma"
lid,"Nyindrou"
cui,"Cuiba"
cot,"Caquinte"
tav,"Tatuyo"
log,"Logo"
prt,"Prai"
boj,"Anjam"
huu,"Witoto, Murui"
mqf,"Momuna"
med,"Melpa"
snp,"Siane"
dah,"Gwahatike"
tnr,"Ménik"
tbk,"Tagbanwa, Calamian"
mtj,"Moskona"
men,"Mende"
ubu,"Umbu-Ungu"
agu,"Awakateko"
kmu,"Kanite"
trn,"Trinitario"
zaj,"Zaramo"
dnt,"Dani, Mid Grand Valley"
qvh,"Quechua, Huamalíes-Dos de Mayo Huánuco"
mcd,"Sharanahua"
urb,"Kaapor"
wsg,"Gondi, Adilabad"
war,"Waray-Waray"
ame,"Yanesha’"
cof,"Tsafiki"
bbb,"Barai"
hap,"Hupla"
law,"Lauje"
crq,"Chorote, Iyo’wujwa"
bor,"Borôro"
kri,"Krio"
nhe,"Nahuatl, Eastern Huasteca"
bjr,"Binumarien"
xte,"Ketengban"
eip,"Lik"
dav,"Dawida"
mpd,"Machinere"
mai,"Maithili"
sil,"Sisaala, Tumulung"
pis,"Pijin"
crk,"Cree, Plains"
kyz,"Kayabí"
ngu,"Nahuatl, Guerrero"
guo,"Guayabero"
mnx,"Sougb"
nij,"Ngaju"
qva,"Quechua, Ambo-Pasco"
lif,"Limbu"
bvz,"Bauzi"
awa,"Awadhi"
kir,"Kyrgyz"
kin,"Kinyarwanda"
iba,"Iban"
niy,"Ngiti"
nas,"Naasioi"
knk,"Kuranko"
gog,"Gogo"
gvc,"Wanano"
mdm,"Mayogo"
pkb,"Kipfokomo"
sho,"Shanga"
gbm,"Garhwali"
dig,"Chidigo"
bsq,"Bassa"
tye,"Kyanga"
gux,"Gourmanchéma"
yal,"Yalunka"
zyb,"Zhuang, Yongbei"
run,"Rundi"
bky,"Bokyi"
yan,"Mayangna"
tbt,"Tembo"
set,"Sentani"
oci,"Occitan"
nyy,"Nyakyusa-Ngonde"
shn,"Shan"
bcc,"Balochi, Southern"
kno,"Kono"
yaa,"Yaminahua"
bwu,"Buli"
bgr,"Chin, Bawm"
mfz,"Mabaan"
keo,"Kakwa"
led,"Lendu"
kue,"Kuman"
grt,"Garo"
sus,"Susu"
mdy,"Male"
sah,"Yakut"
dug,"Chiduruma"
pkr,"Kurumba, Attapady"
tir,"Tigrigna"
suk,"Sukuma"
san,"Sanskrit"
kdj,"Ng’akarimojong"
nyf,"Kigiryama"
bem,"Bemba"
hak,"Chinese, Hakka"
dag,"Dagbani"
nan,"Chinese, Min Nan"
kdh,"Tem"
gum,"Misak"
hnj,"Hmong Njua"
aha,"Ahanta"
lsm,"Saamya-Gwe"
nyn,"Nyankore"
lam,"Lamba"
tgw,"Sénoufo, Tagwana"
kde,"Makonde"
lhu,"Lahu"
wme,"Wambule"
guc,"Wayuu"
mur,"Murle"
kam,"Kamba"
bru,"Bru, Eastern"
nsk,"Naskapi"
guk,"Gumuz"
cas,"Tsimané"
nnw,"Nuni, Southern"
jow,"Jowulu"
bvc,"Baelelea"
gjn,"Gonja"
cko,"Anufo"
rim,"Nyaturu"
mfi,"Wandala"
thf,"Thangmi"
trq,"Triqui, San Martín Itunyoso"
bmu,"Somba-Siawari"
ade,"Adele"
rmy,"Romani, Vlax"
nim,"Nilamba"
mbb,"Manobo, Western Bukidnon"
mxv,"Mixtec, Metlatónoc"
ses,"Songhay, Koyraboro Senni"
dyo,"Jola-Fonyi"
taj,"Tamang, Eastern"
mnb,"Muna"
sbd,"Samo, Southern"
hui,"Huli"
esi,"Inupiatun, North Alaskan"
wba,"Warao"
kqn,"Kaonde"
spy,"Sabaot"
raw,"Rawang"
kbr,"Kafa"
tem,"Themne"
bst,"Basketo"
oss,"Ossetic"
omi,"Omi"
qul,"Quechua, North Bolivian"
car,"Carib"
kff,"Koya"
ptu,"Bambam"
mev,"Maan"
mgh,"Makhuwa-Meetto"
cly,"Chatino, Eastern Highland"
mpx,"Misima-Panaeati"
kus,"Kusaal"
mwq,"Chin, Müün"
khq,"Songhay, Koyra Chiini"
nia,"Nias"
urk,"Urak Lawoi’"
spp,"Sénoufo, Supyire"
dzo,"Dzongkha"
sgb,"Ayta, Mag-antsi"
kma,"Konni"
iou,"Tuma-Irumu"
lef,"Lelemi"
nst,"Naga, Tangshang"
udg,"Muduga"
vag,"Vagla"
kum,"Kumyk"
maw,"Mampruli"
quz,"Quechua, Cusco"
kaa,"Karakalpak"
mpg,"Marba"
yva,"Yawa"
bgc,"Haryanvi"
bim,"Bimoba"
fij,"Fijian"
bud,"Ntcham"
ceg,"Chamacoco"
tpm,"Tampulma"
mrj,"Mari, Hill"
nus,"Nuer"
sba,"Ngambay"
lom,"Loma"
bib,"Bisa"
twu,"Termanu"
acd,"Gikyode"
mak,"Makasar"
cni,"Asháninka"
pbb,"Nasa"
qvm,"Quechua, Margos-Yarowilca-Lauricocha"
zab,"Zapotec, Western Tlacolula Valley"
csk,"Jola-Kasa"
gxx,"Wè Southern"
bgt,"Bughotu"
yuz,"Yuracare"
emp,"Emberá, Northern"
mzj,"Manya"
mfq,"Moba"
guw,"Gun"
kac,"Jingpho"
ilo,"Ilocano"
qvo,"Quichua, Napo"
las,"Lama"
ctu,"Chol"
cdj,"Churahi"
yam,"Yamba"
dip,"Dinka, Northeastern"
kfy,"Kumaoni"
sig,"Paasaal"
srx,"Sirmauri"
mie,"Mixtec, Ocotepec"
tca,"Ticuna"
cap,"Chipaya"
nav,"Navajo"
mca,"Maka"
pce,"Palaung, Ruching"
upv,"Uripiv-Wala-Rano-Atchin"
bgd,"Bareli, Rathwi"
blz,"Balantak"
dik,"Dinka, Southwestern"
gbi,"Galela"
dgo,"Dogri"
nnb,"Nande"
cax,"Chiquitano"
myb,"Mbay"
txq,"Tii"
dhi,"Dhimal"
mad,"Madura"
shk,"Shilluk"
ktb,"Kambaata"
quw,"Quichua, Tena Lowland"
rav,"Sampang"
sag,"Sango"
nyu,"Nyungwe"
ljp,"Lampung Api"
mzm,"Mumuye"
stb,"Subanen, Northern"
pab,"Parecís"
mzw,"Deg"
mhi,"Ma’di"
gor,"Gorontalo"
agd,"Agarabi"
gnd,"Zulgo-Gemzek"
xnr,"Kangri"
mor,"Moro"
kyu,"Kayah, Western"
ese,"Ese Ejja"
myk,"Sénoufo, Mamara"
zaw,"Zapotec, Mitla"
cme,"Cerma"
aaz,"Amarasi"
cnt,"Chinantec, Tepetotutla"
zpo,"Zapotec, Amatlán"
anv,"Denya"
ach,"Acholi"
mwv,"Mentawai"
kfb,"Kolami, Northwestern"
otn,"Otomi, Tenango"
kbq,"Kamano"
kss,"Kisi, Southern"
jiv,"Shuar"
dop,"Lukpa"
nhw,"Nahuatl, Western Huasteca"
ahk,"Akha"
tbz,"Ditammari"
zas,"Zapotec, Santo Domingo Albarradas"
huv,"Huave, San Mateo del Mar"
xtn,"Mixtec, Northern Tlaxiaco"
bex,"Jur Modo"
crn,"Cora, El Nayar"
cuk,"Kuna, San Blas"
gbk,"Gaddi"
toi,"Tonga"
key,"Kupia"
ifb,"Ifugao, Batad"
ztq,"Zapotec, Quioquitani-Quierí"
nag,"Nagamese"
toc,"Totonac, Coyutla"
ken,"Kenyang"
agr,"Awajún"
bfd,"Bafut"
kyq,"Kenga"
ker,"Kera"
ntr,"Delo"
usp,"Uspanteko"
alz,"Alur"
mas,"Maasai"
lme,"Pévé"
nhu,"Noone"
dwr,"Dawro"
ksp,"Kabba"
ncu,"Chumburung"
min,"Minangkabau"
wol,"Wolof"
hif,"Hindi, Fiji"
tll,"Tetela"
bba,"Baatonum"
cco,"Chinantec, Comaltepec"
tbc,"Takia"
lia,"Limba, West-Central"
mgq,"Malila"
mnf,"Mundani"
hil,"Hiligaynon"
kyc,"Kyaka"
ozm,"Koonzime"
gyr,"Guarayu"
pcm,"Pidgin, Nigerian"
sml,"Sama, Central"
npl,"Nahuatl, Southeastern Puebla"
tby,"Tabaru"
lem,"Nomaande"
udu,"Uduk"
xsu,"Sanumá"
soq,"Kanasi"
tik,"Tikar"
ibg,"Ibanag"
zpl,"Zapotec, Lachixío"
sbl,"Sambal, Botolan"
itv,"Itawit"
noa,"Woun Meu"
ace,"Aceh"
ign,"Ignaciano"
shp,"Shipibo-Conibo"
jbu,"Jukun Takum"
kub,"Kutep"
knf,"Mankanya"
mvp,"Duri"
jac,"Jakalteko"
wwa,"Waama"
biv,"Birifor, Southern"
kkj,"Kako"
ter,"Terêna"
pbi,"Parkwa"
csy,"Chin, Siyin"
xrb,"Karaboro, Eastern"
mxq,"Mixe, Juquila"
mfh,"Matal"
bht,"Bhattiyali"
fal,"Fali, South"
adj,"Adioukrou"
mcu,"Mambila, Cameroon"
otq,"Otomi, Querétaro"
bpr,"Blaan, Koronadal"
miq,"Mískito"
tee,"Tepehua, Huehuetla"
mrw,"Maranao"
nfr,"Nafaanra"
izr,"Izere"
bzi,"Bisu"
sas,"Sasak"
cou,"Wamey"
cbt,"Shawi"
lwo,"Luwo"
ban,"Bali"
kab,"Amazigh"
cbs,"Kashinawa"
prf,"Paranan"
nhi,"Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla"
dyi,"Sénoufo, Djimini"
cnw,"Chin, Ngawn"
zaa,"Zapotec, Sierra de Juárez"
mfe,"Morisyen"
mio,"Mixtec, Pinotepa Nacional"
kjb,"Q’anjob’al"
myx,"Masaaba"
con,"Cofán"
bkv,"Bekwarra"
sur,"Mwaghavul"
eza,"Ezaa"
qxn,"Quechua, Northern Conchucos Ancash"
lgg,"Lugbara"
cya,"Chatino, Nopala"
zao,"Zapotec, Ozolotepec"
kez,"Kukele"
sja,"Epena"
bdq,"Bahnar"
acf,"Lesser Antillean French Creole"
ruf,"Luguru"
cce,"Chopi"
old,"Mochi"
acu,"Achuar-Shiwiar"
jmc,"Machame"
xpe,"Kpelle, Liberia"
alj,"Alangan"
awb,"Awa"
srn,"Sranan Tongo"
zad,"Zapotec, Cajonos"
lob,"Lobi"
tsz,"Purepecha"
ote,"Otomi, Mezquital"
bcl,"Bikol, Central"
mbt,"Manobo, Matigsalug"
yua,"Maya, Yucatec"
sgw,"Sebat Bet Gurage"
tue,"Tuyuca"
kao,"Xaasongaxango"
mjl,"Mandeali"
maz,"Mazahua, Central"
miz,"Mixtec, Coatzospan"
qvw,"Quechua, Huaylla Wanca"
cpa,"Chinantec, Palantla"
kxc,"Konso"
bss,"Akoose"
laj,"Lango"
nyo,"Nyoro"
ndp,"Kebu"
hag,"Hanga"
lip,"Sekpele"
agn,"Agutaynen"
mfy,"Mayo"
nod,"Thai, Northern"
zos,"Zoque, Francisco León"
gde,"Gude"
qub,"Quechua, Huallaga"
tri,"Trió"
way,"Wayana"
umb,"Umbundu"
gwi,"Gwich’in"
qwh,"Quechua, Huaylas Ancash"
bsc,"Oniyan"
qvn,"Quechua, North Junín"
ncj,"Nahuatl, Northern Puebla"
tnk,"Kwamera"
mit,"Mixtec, Southern Puebla"
irk,"Iraqw"
djk,"Aukan"
vun,"Vunjo"
rai,"Ramoaaina"
mda,"Mada"
gym,"Ngäbere"
wob,"Wè Northern"
pam,"Kapampangan"
mop,"Maya, Mopán"
tpp,"Tepehua, Pisaflores"
mzk,"Mambila, Nigeria"
hig,"Kamwe"
tap,"Taabwa"
hto,"Witoto, Minika"
pww,"Karen, Pwo Northern"
kxm,"Khmer, Northern"
pbc,"Patamona"
ifu,"Ifugao, Mayoyao"
heh,"Hehe"
bnp,"Bola"
nwb,"Nyabwa"
pko,"Pökoot"
jam,"Jamaican English Creole"
gej,"Gen"
sld,"Sissala"
iqw,"Ikwo"
pae,"Pagibete"
tac,"Tarahumara, Western"
zai,"Zapotec, Isthmus"
alt,"Altai, Southern"
snw,"Selee"
ann,"Obolo"
lee,"Lyélé"
bao,"Waimaha"
klv,"Maskelynes"
izz,"Izii"
pag,"Pangasinan"
thk,"Kitharaka"
hay,"Haya"
mog,"Mongondow"
krj,"Kinaray-a"
klu,"Klao"
apb,"Sa’a"
gmv,"Gamo"
ycn,"Yucuna"
kqy,"Koorete"
msy,"Aruamu"
qvs,"Quechua, San Martín"
ood,"Tohono O’odham"
cbc,"Carapana"
stp,"Tepehuan, Southeastern"
bts,"Batak Simalungun"
enb,"Markweeta"
bcw,"Bana"
muh,"Mündü"
adh,"Jopadhola"
gkn,"Gokana"
tgp,"Tangoa"
ziw,"Zigula"
kpz,"Kupsapiiny"
poy,"Pogolo"
daa,"Dangaléat"
tnn,"Tanna, North"
shi,"Tachelhit"
guu,"Yanomamö"
kdi,"Kumam"
ata,"Pele-Ata"
bav,"Vengo"
neb,"Toura"
mif,"Mofu-Gudur"
mbh,"Mangseng"
srm,"Saramaccan"
vid,"Vidunda"
vmy,"Mazatec, Ayautla"
nnq,"Ngindo"
dts,"Dogon, Toro So"
ilb,"Ila"
ngp,"Ngulu"
tpt,"Tepehua, Tlachichilco"
kki,"Kagulu"
gvl,"Gulay"
chz,"Chinantec, Ozumacín"
ndj,"Ndamba"
toh,"Tonga"
zae,"Zapotec, Yareni"
caa,"Ch’orti’"
pau,"Palauan"
zpi,"Zapotec, Santa María Quiegolani"
cjp,"Cabécar"
bng,"Benga"
bjv,"Bedjond"
cuc,"Chinantec, Usila"
krl,"Karelian"
wmw,"Mwani"
nch,"Nahuatl, Central Huasteca"
nse,"Nsenga"
ndz,"Ndogo"
meq,"Merey"
mah,"Marshallese"
gso,"Gbaya, Southwest"
kwi,"Awa-Cuaiquer"
qve,"Quechua, Eastern Apurímac"
mza,"Mixtec, Santa María Zacatepec"
rng,"Ronga"
azz,"Nahuatl, Highland Puebla"
hns,"Hindustani, Sarnami"
npy,"Napu"
bps,"Blaan, Sarangani"
mqb,"Mbuko"
ura,"Urarina"
zty,"Zapotec, Yatee"
inb,"Inga"
cwt,"Kuwaataay"
yli,"Yali, Angguruk"
pad,"Paumarí"
mox,"Molima"
zpm,"Zapotec, Mixtepec"
tos,"Totonac, Highland"
bzj,"Belize English Creole"
apr,"Arop-Lokep"
ifk,"Ifugao, Tuwali"
nca,"Iyo"
boa,"Bora"
rmo,"Romani, Sinte"
jic,"Tol"
ded,"Dedua"
waw,"Waiwai"
saj,"Sahu"
lnl,"Banda, South Central"
pir,"Piratapuyo"
quf,"Quechua, Lambayeque"
sri,"Siriano"
kdn,"Kunda"
cbv,"Cacua"
lac,"Lacandon"
mpp,"Migabac"
gam,"Kandawo"
qvc,"Quechua, Cajamarca"
qvz,"Quichua, Northern Pastaza"
qxh,"Quechua, Panao"
lai,"Lambya"
hub,"Wampís"
jvn,"Javanese, Suriname"
coe,"Koreguaje"
ify,"Kallahan, Keley-i"
nab,"Nambikuára, Southern"
mir,"Mixe, Isthmus"
apf,"Agta, Pahanan"
des,"Desano"
lww,"Lewo"
cbu,"Kandozi-Chapra"
tfr,"Teribe"
beq,"Beembe"
nbw,"Ngbandi, Southern"
loq,"Lobala"
tbg,"Tairora, North"
avu,"Avokaya"
mcb,"Matsigenka"
bto,"Bikol, Rinconada"
mnh,"Mono"
